Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR,is_home,goals_for,goals_against,goal_diff,result_binary
2018-08-12,2018-19,Arsenal,Man City,0,2,A,1,0,2,-2,0
2018-08-18,2018-19,Chelsea,Arsenal,3,2,H,0,2,3,-1,0
2018-08-25,2018-19,Arsenal,West Ham,3,1,H,1,3,1,2,1
2018-09-02,2018-19,Cardiff,Arsenal,2,3,A,0,3,2,1,1
2018-09-15,2018-19,Newcastle,Arsenal,1,2,A,0,2,1,1,1
2018-09-23,2018-19,Arsenal,Everton,2,0,H,1,2,0,2,1
2018-09-29,2018-19,Arsenal,Watford,2,0,H,1,2,0,2,1
2018-10-07,2018-19,Fulham,Arsenal,1,5,A,0,5,1,4,1
2018-10-22,2018-19,Arsenal,Leicester,3,1,H,1,3,1,2,1
2018-10-28,2018-19,Crystal Palace,Arsenal,2,2,D,0,2,2,0,0
2018-11-03,2018-19,Arsenal,Liverpool,1,1,D,1,1,1,0,0
2018-11-11,2018-19,Arsenal,Wolves,1,1,D,1,1,1,0,0
2018-11-25,2018-19,Bournemouth,Arsenal,1,2,A,0,2,1,1,1
2018-12-02,2018-19,Arsenal,Tottenham,4,2,H,1,4,2,2,1
2018-12-05,2018-19,Man United,Arsenal,2,2,D,0,2,2,0,0
2018-12-08,2018-19,Arsenal,Huddersfield,1,0,H,1,1,0,1,1
2018-12-16,2018-19,Southampton,Arsenal,3,2,H,0,2,3,-1,0
2018-12-22,2018-19,Arsenal,Burnley,3,1,H,1,3,1,2,1
2018-12-26,2018-19,Brighton,Arsenal,1,1,D,0,1,1,0,0
2018-12-29,2018-19,Liverpool,Arsenal,5,1,H,0,1,5,-4,0
2019-01-01,2018-19,Arsenal,Fulham,4,1,H,1,4,1,3,1
2019-01-12,2018-19,West Ham,Arsenal,1,0,H,0,0,1,-1,0
2019-01-19,2018-19,Arsenal,Chelsea,2,0,H,1,2,0,2,1
2019-01-29,2018-19,Arsenal,Cardiff,2,1,H,1,2,1,1,1
2019-02-03,2018-19,Man City,Arsenal,3,1,H,0,1,3,-2,0
2019-02-09,2018-19,Huddersfield,Arsenal,1,2,A,0,2,1,1,1
2019-02-24,2018-19,Arsenal,Southampton,2,0,H,1,2,0,2,1
2019-02-27,2018-19,Arsenal,Bournemouth,5,1,H,1,5,1,4,1
2019-03-02,2018-19,Tottenham,Arsenal,1,1,D,0,1,1,0,0
2019-03-10,2018-19,Arsenal,Man United,2,0,H,1,2,0,2,1
2019-04-01,2018-19,Arsenal,Newcastle,2,0,H,1,2,0,2,1
2019-04-07,2018-19,Everton,Arsenal,1,0,H,0,0,1,-1,0
2019-04-15,2018-19,Watford,Arsenal,0,1,A,0,1,0,1,1
2019-04-21,2018-19,Arsenal,Crystal Palace,2,3,A,1,2,3,-1,0
2019-04-24,2018-19,Wolves,Arsenal,3,1,H,0,1,3,-2,0
2019-04-28,2018-19,Leicester,Arsenal,3,0,H,0,0,3,-3,0
2019-05-05,2018-19,Arsenal,Brighton,1,1,D,1,1,1,0,0
2019-05-12,2018-19,Burnley,Arsenal,1,3,A,0,3,1,2,1
2019-08-11,2019-20,Newcastle,Arsenal,0,1,A,0,1,0,1,1
2019-08-17,2019-20,Arsenal,Burnley,2,1,H,1,2,1,1,1
2019-08-24,2019-20,Liverpool,Arsenal,3,1,H,0,1,3,-2,0
2019-09-01,2019-20,Arsenal,Tottenham,2,2,D,1,2,2,0,0
2019-09-15,2019-20,Watford,Arsenal,2,2,D,0,2,2,0,0
2019-09-22,2019-20,Arsenal,Aston Villa,3,2,H,1,3,2,1,1
2019-09-30,2019-20,Man United,Arsenal,1,1,D,0,1,1,0,0
2019-10-06,2019-20,Arsenal,Bournemouth,1,0,H,1,1,0,1,1
2019-10-21,2019-20,Sheffield United,Arsenal,1,0,H,0,0,1,-1,0
2019-10-27,2019-20,Arsenal,Crystal Palace,2,2,D,1,2,2,0,0
2019-11-02,2019-20,Arsenal,Wolves,1,1,D,1,1,1,0,0
2019-11-09,2019-20,Leicester,Arsenal,2,0,H,0,0,2,-2,0
2019-11-23,2019-20,Arsenal,Southampton,2,2,D,1,2,2,0,0
2019-12-01,2019-20,Norwich,Arsenal,2,2,D,0,2,2,0,0
2019-12-05,2019-20,Arsenal,Brighton,1,2,A,1,1,2,-1,0
2019-12-09,2019-20,West Ham,Arsenal,1,3,A,0,3,1,2,1
2019-12-15,2019-20,Arsenal,Man City,0,3,A,1,0,3,-3,0
2019-12-21,2019-20,Everton,Arsenal,0,0,D,0,0,0,0,0
2019-12-26,2019-20,Bournemouth,Arsenal,1,1,D,0,1,1,0,0
2019-12-29,2019-20,Arsenal,Chelsea,1,2,A,1,1,2,-1,0
2020-01-01,2019-20,Arsenal,Man United,2,0,H,1,2,0,2,1
2020-01-11,2019-20,Crystal Palace,Arsenal,1,1,D,0,1,1,0,0
