Date,Season,HomeTeam,AwayTeam,FTHG,FTAG,FTR
2018-08-10,2018-19,Man United,Leicester,2,1,H
2018-08-11,2018-19,Bournemouth,Cardiff,2,0,H
2018-08-11,2018-19,Fulham,Crystal Palace,0,2,A
2018-08-11,2018-19,Huddersfield,Chelsea,0,3,A
2018-08-11,2018-19,Newcastle,Tottenham,1,2,A
2018-08-11,2018-19,Watford,Brighton,2,0,H
2018-08-11,2018-19,Wolves,Everton,2,2,D
2018-08-12,2018-19,Arsenal,Man City,0,2,A
2018-08-12,2018-19,Liverpool,West Ham,4,0,H
2018-08-12,2018-19,Southampton,Burnley,0,0,D
2018-08-18,2018-19,Cardiff,Newcastle,0,0,D
2018-08-18,2018-19,Chelsea,Arsenal,3,2,H
2018-08-18,2018-19,Everton,Southampton,2,1,H
2018-08-18,2018-19,Leicester,Wolves,2,0,H
2018-08-18,2018-19,Tottenham,Fulham,3,1,H
2018-08-18,2018-19,West Ham,Bournemouth,1,2,A
2018-08-19,2018-19,Brighton,Man United,3,2,H
2018-08-19,2018-19,Burnley,Watford,1,3,A
2018-08-19,2018-19,Man City,Huddersfield,6,1,H
2018-08-20,2018-19,Crystal Palace,Liverpool,0,2,A
2018-08-25,2018-19,Arsenal,West Ham,3,1,H
2018-08-25,2018-19,Bournemouth,Everton,2,2,D
2018-08-25,2018-19,Huddersfield,Cardiff,0,0,D
2018-08-25,2018-19,Liverpool,Brighton,1,0,H
2018-08-25,2018-19,Southampton,Leicester,1,2,A
2018-08-25,2018-19,Wolves,Man City,1,1,D
2018-08-26,2018-19,Fulham,Burnley,4,2,H
2018-08-26,2018-19,Newcastle,Chelsea,1,2,A
2018-08-26,2018-19,Watford,Crystal Palace,2,1,H
2018-08-27,2018-19,Man United,Tottenham,0,3,A
2018-09-01,2018-19,Brighton,Fulham,2,2,D
2018-09-01,2018-19,Chelsea,Bournemouth,2,0,H
2018-09-01,2018-19,Crystal Palace,Southampton,0,2,A
2018-09-01,2018-19,Everton,Huddersfield,1,1,D
2018-09-01,2018-19,Leicester,Liverpool,1,2,A
2018-09-01,2018-19,Man City,Newcastle,2,1,H
2018-09-01,2018-19,West Ham,Wolves,0,1,A
2018-09-02,2018-19,Burnley,Man United,0,2,A
2018-09-02,2018-19,Cardiff,Arsenal,2,3,A
2018-09-02,2018-19,Watford,Tottenham,2,1,H
2018-09-15,2018-19,Bournemouth,Leicester,4,2,H
2018-09-15,2018-19,Chelsea,Cardiff,4,1,H
2018-09-15,2018-19,Huddersfield,Crystal Palace,0,1,A
2018-09-15,2018-19,Man City,Fulham,3,0,H
2018-09-15,2018-19,Newcastle,Arsenal,1,2,A
2018-09-15,2018-19,Tottenham,Liverpool,1,2,A
2018-09-15,2018-19,Watford,Man United,1,2,A
2018-09-16,2018-19,Everton,West Ham,1,3,A
2018-09-16,2018-19,Wolves,Burnley,1,0,H
2018-09-17,2018-19,Southampton,Brighton,2,2,D
2018-09-22,2018-19,Brighton,Tottenham,1,2,A
2018-09-22,2018-19,Burnley,Bournemouth,4,0,H
2018-09-22,2018-19,Cardiff,Man City,0,5,A
2018-09-22,2018-19,Crystal Palace,Newcastle,0,0,D
2018-09-22,2018-19,Fulham,Watford,1,1,D
2018-09-22,2018-19,Leicester,Huddersfield,3,1,H
2018-09-22,2018-19,Liverpool,Southampton,3,0,H
2018-09-22,2018-19,Man United,Wolves,1,1,D
2018-09-23,2018-19,Arsenal,Everton,2,0,H
2018-09-23,2018-19,West Ham,Chelsea,0,0,D
2018-09-29,2018-19,Arsenal,Watford,2,0,H
2018-09-29,2018-19,Chelsea,Liverpool,1,1,D
2018-09-29,2018-19,Everton,Fulham,3,0,H
2018-09-29,2018-19,Huddersfield,Tottenham,0,2,A
2018-09-29,2018-19,Man City,Brighton,2,0,H
2018-09-29,2018-19,Newcastle,Leicester,0,2,A
2018-09-29,2018-19,West Ham,Man United,3,1,H
2018-09-29,2018-19,Wolves,Southampton,2,0,H
2018-09-30,2018-19,Cardiff,Burnley,1,2,A
2018-10-01,2018-19,Bournemouth,Crystal Palace,2,1,H
2018-10-05,2018-19,Brighton,West Ham,1,0,H
2018-10-06,2018-19,Burnley,Huddersfield,1,1,D
2018-10-06,2018-19,Crystal Palace,Wolves,0,1,A
2018-10-06,2018-19,Leicester,Everton,1,2,A
2018-10-06,2018-19,Man United,Newcastle,3,2,H
2018-10-06,2018-19,Tottenham,Cardiff,1,0,H
2018-10-06,2018-19,Watford,Bournemouth,0,4,A
2018-10-07,2018-19,Fulham,Arsenal,1,5,A
2018-10-07,2018-19,Liverpool,Man City,0,0,D
2018-10-07,2018-19,Southampton,Chelsea,0,3,A
2018-10-20,2018-19,Bournemouth,Southampton,0,0,D
2018-10-20,2018-19,Cardiff,Fulham,4,2,H
2018-10-20,2018-19,Chelsea,Man United,2,2,D
2018-10-20,2018-19,Huddersfield,Liverpool,0,1,A
2018-10-20,2018-19,Man City,Burnley,5,0,H
2018-10-20,2018-19,Newcastle,Brighton,0,1,A
2018-10-20,2018-19,West Ham,Tottenham,0,1,A
2018-10-20,2018-19,Wolves,Watford,0,2,A
2018-10-21,2018-19,Everton,Crystal Palace,2,0,H
2018-10-22,2018-19,Arsenal,Leicester,3,1,H
2018-10-27,2018-19,Brighton,Wolves,1,0,H
2018-10-27,2018-19,Fulham,Bournemouth,0,3,A
2018-10-27,2018-19,Leicester,West Ham,1,1,D
2018-10-27,2018-19,Liverpool,Cardiff,4,1,H
2018-10-27,2018-19,Southampton,Newcastle,0,0,D
2018-10-27,2018-19,Watford,Huddersfield,3,0,H
2018-10-28,2018-19,Burnley,Chelsea,0,4,A
2018-10-28,2018-19,Crystal Palace,Arsenal,2,2,D
2018-10-28,2018-19,Man United,Everton,2,1,H
2018-10-29,2018-19,Tottenham,Man City,0,1,A
2018-11-03,2018-19,Arsenal,Liverpool,1,1,D
2018-11-03,2018-19,Bournemouth,Man United,1,2,A
2018-11-03,2018-19,Cardiff,Leicester,0,1,A
2018-11-03,2018-19,Everton,Brighton,3,1,H
2018-11-03,2018-19,Newcastle,Watford,1,0,H
2018-11-03,2018-19,West Ham,Burnley,4,2,H
2018-11-03,2018-19,Wolves,Tottenham,2,3,A
2018-11-04,2018-19,Chelsea,Crystal Palace,3,1,H
2018-11-04,2018-19,Man City,Southampton,6,1,H
2018-11-05,2018-19,Huddersfield,Fulham,1,0,H
2018-11-10,2018-19,Cardiff,Brighton,2,1,H
2018-11-10,2018-19,Crystal Palace,Tottenham,0,1,A
2018-11-10,2018-19,Huddersfield,West Ham,1,1,D
2018-11-10,2018-19,Leicester,Burnley,0,0,D
2018-11-10,2018-19,Newcastle,Bournemouth,2,1,H
2018-11-10,2018-19,Southampton,Watford,1,1,D
2018-11-11,2018-19,Arsenal,Wolves,1,1,D
2018-11-11,2018-19,Chelsea,Everton,0,0,D
2018-11-11,2018-19,Liverpool,Fulham,2,0,H
2018-11-11,2018-19,Man City,Man United,3,1,H
2018-11-24,2018-19,Brighton,Leicester,1,1,D
2018-11-24,2018-19,Everton,Cardiff,1,0,H
2018-11-24,2018-19,Fulham,Southampton,3,2,H
2018-11-24,2018-19,Man United,Crystal Palace,0,0,D
2018-11-24,2018-19,Tottenham,Chelsea,3,1,H
2018-11-24,2018-19,Watford,Liverpool,0,3,A
2018-11-24,2018-19,West Ham,Man City,0,4,A
2018-11-25,2018-19,Bournemouth,Arsenal,1,2,A
2018-11-25,2018-19,Wolves,Huddersfield,0,2,A
2018-11-26,2018-19,Burnley,Newcastle,1,2,A
2018-11-30,2018-19,Cardiff,Wolves,2,1,H
2018-12-01,2018-19,Crystal Palace,Burnley,2,0,H
2018-12-01,2018-19,Huddersfield,Brighton,1,2,A
2018-12-01,2018-19,Leicester,Watford,2,0,H
2018-12-01,2018-19,Man City,Bournemouth,3,1,H
2018-12-01,2018-19,Newcastle,West Ham,0,3,A
2018-12-01,2018-19,Southampton,Man United,2,2,D
2018-12-02,2018-19,Arsenal,Tottenham,4,2,H
2018-12-02,2018-19,Chelsea,Fulham,2,0,H
2018-12-02,2018-19,Liverpool,Everton,1,0,H
2018-12-04,2018-19,Bournemouth,Huddersfield,2,1,H
2018-12-04,2018-19,Brighton,Crystal Palace,3,1,H
2018-12-04,2018-19,Watford,Man City,1,2,A
2018-12-04,2018-19,West Ham,Cardiff,3,1,H
2018-12-05,2018-19,Burnley,Liverpool,1,3,A
2018-12-05,2018-19,Everton,Newcastle,1,1,D
2018-12-05,2018-19,Fulham,Leicester,1,1,D
2018-12-05,2018-19,Man United,Arsenal,2,2,D
2018-12-05,2018-19,Tottenham,Southampton,3,1,H
2018-12-05,2018-19,Wolves,Chelsea,2,1,H
2018-12-08,2018-19,Arsenal,Huddersfield,1,0,H
2018-12-08,2018-19,Bournemouth,Liverpool,0,4,A
2018-12-08,2018-19,Burnley,Brighton,1,0,H
2018-12-08,2018-19,Cardiff,Southampton,1,0,H
2018-12-08,2018-19,Chelsea,Man City,2,0,H
2018-12-08,2018-19,Leicester,Tottenham,0,2,A
2018-12-08,2018-19,Man United,Fulham,4,1,H
2018-12-08,2018-19,West Ham,Crystal Palace,3,2,H
2018-12-09,2018-19,Newcastle,Wolves,1,2,A
2018-12-10,2018-19,Everton,Watford,2,2,D
2018-12-15,2018-19,Crystal Palace,Leicester,1,0,H
2018-12-15,2018-19,Fulham,West Ham,0,2,A
2018-12-15,2018-19,Huddersfield,Newcastle,0,1,A
2018-12-15,2018-19,Man City,Everton,3,1,H
2018-12-15,2018-19,Tottenham,Burnley,1,0,H
2018-12-15,2018-19,Watford,Cardiff,3,2,H
2018-12-15,2018-19,Wolves,Bournemouth,2,0,H
2018-12-16,2018-19,Brighton,Chelsea,1,2,A
2018-12-16,2018-19,Liverpool,Man United,3,1,H
2018-12-16,2018-19,Southampton,Arsenal,3,2,H
2018-12-21,2018-19,Wolves,Liverpool,0,2,A
2018-12-22,2018-19,Arsenal,Burnley,3,1,H
2018-12-22,2018-19,Bournemouth,Brighton,2,0,H
2018-12-22,2018-19,Cardiff,Man United,1,5,A
2018-12-22,2018-19,Chelsea,Leicester,0,1,A
2018-12-22,2018-19,Huddersfield,Southampton,1,3,A
2018-12-22,2018-19,Man City,Crystal Palace,2,3,A
2018-12-22,2018-19,Newcastle,Fulham,0,0,D
2018-12-22,2018-19,West Ham,Watford,0,2,A
2018-12-23,2018-19,Everton,Tottenham,2,6,A
2018-12-26,2018-19,Brighton,Arsenal,1,1,D
2018-12-26,2018-19,Burnley,Everton,1,5,A
2018-12-26,2018-19,Crystal Palace,Cardiff,0,0,D
2018-12-26,2018-19,Fulham,Wolves,1,1,D
2018-12-26,2018-19,Leicester,Man City,2,1,H
2018-12-26,2018-19,Liverpool,Newcastle,4,0,H
2018-12-26,2018-19,Man United,Huddersfield,3,1,H
2018-12-26,2018-19,Tottenham,Bournemouth,5,0,H
2018-12-26,2018-19,Watford,Chelsea,1,2,A
2018-12-27,2018-19,Southampton,West Ham,1,2,A
2018-12-29,2018-19,Brighton,Everton,1,0,H
2018-12-29,2018-19,Fulham,Huddersfield,1,0,H
2018-12-29,2018-19,Leicester,Cardiff,0,1,A
2018-12-29,2018-19,Liverpool,Arsenal,5,1,H
2018-12-29,2018-19,Tottenham,Wolves,1,3,A
2018-12-29,2018-19,Watford,Newcastle,1,1,D
2018-12-30,2018-19,Burnley,West Ham,2,0,H
2018-12-30,2018-19,Crystal Palace,Chelsea,0,1,A
2018-12-30,2018-19,Man United,Bournemouth,4,1,H
2018-12-30,2018-19,Southampton,Man City,1,3,A
2019-01-01,2018-19,Arsenal,Fulham,4,1,H
2019-01-01,2018-19,Cardiff,Tottenham,0,3,A
2019-01-01,2018-19,Everton,Leicester,0,1,A
2019-01-02,2018-19,Bournemouth,Watford,3,3,D
2019-01-02,2018-19,Chelsea,Southampton,0,0,D
2019-01-02,2018-19,Huddersfield,Burnley,1,2,A
2019-01-02,2018-19,Newcastle,Man United,0,2,A
